,bolt1,nut1,jig1,bin1
x,446.75432740808964,424.6281503008081,551.8957266060096,581.8080958793378
y,180.33015358247098,77.35122078147415,-106.51229725618366,269.7691761144177
z,14.61273948558049,22.436466043135567,158.30289035188838,54.65165844018253
rx,-0.5236725595903172,-1.019363113637519,0.018326806494504563,0.040137442255752255
ry,0.15340479604127719,0.4884722503604532,-0.011643482358596543,-0.0576720781927248
rz,-0.6675696546718882,1.2349022288343066,-0.03364349680342184,-0.009325954428654828
qx,-0.25380077105408577,-0.4522123355838818,0.009162791095543542,0.020064520292333
qy,0.07434847368960902,0.2166972438458901,-0.005821352263879558,-0.02883000306361337
qz,-0.32354128545628646,0.5478303203714718,-0.016820624642147987,-0.004662001148124992
qw,0.9085034450554773,0.6696478538284552,0.9997995907699739,0.9993720586918995
